"Grupao","Grupo","Familia","Especie","NomeComum","PrincipaisAmeacas"
"Fauna","Aves","Scleruridae","Sclerurus macconnelli bahiae","Vira-folha-de-peito-vermelho","extracao florestal"
"Fauna","Peixes Continentais","Loricariidae","Scobinancistrus aureatus","Acari-da-pedra","caça/pesca/captura"
"Fauna","Peixes Continentais","Loricariidae","Scobinancistrus aureatus","Acari-da-pedra","mineraçao"
"Fauna","Peixes Continentais","Loricariidae","Scobinancistrus aureatus","Acari-da-pedra","Produção de energia"
"Fauna","Peixes Continentais","Loricariidae","Scobinancistrus pariolispos","Acari-da-pedra","caça/pesca/captura"
"Fauna","Peixes Continentais","Loricariidae","Scobinancistrus pariolispos","Acari-da-pedra","Produção de energia"
"Fauna","Invertebrados Terrestres","Scolopendridae","Scolopendropsis duplicata","Lacraia, centopeia","expansão urbana"
"Fauna","Invertebrados Terrestres","Scolopendridae","Scolopendropsis duplicata","Lacraia, centopeia","Produção de energia"
"Fauna","Peixes Marinhos","Scorpaenidae","Scorpaenodes insularis","Peixe-pedra-arco-iris ","transportes (terrestre/aereo/aquatico)"
"Fauna","Peixes Marinhos","Scorpaenidae","Scorpaenodes insularis","Peixe-pedra-arco-iris ","poluiçao"
"Flora","Angiospermas","Rhamnaceae","Scutia arenicola","-","vazio"
"Flora","Angiospermas","Orchidaceae","Scuticaria irwiniana","-","Turismo desordenado"
"Flora","Angiospermas","Orchidaceae","Scuticaria itirapinensis","-","extraçao de nao madereiras"
"Flora","Angiospermas","Orchidaceae","Scuticaria kautskyi","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Orchidaceae","Scuticaria strictifolia","-","coleta"
"Fauna","Aves","Rhinocryptidae","Scytalopus diamantinensis","Tapaculo-da-chapada-diamantina","agropecuaria"
"Fauna","Aves","Rhinocryptidae","Scytalopus diamantinensis","Tapaculo-da-chapada-diamantina","extracao florestal"
"Fauna","Aves","Rhinocryptidae","Scytalopus diamantinensis","Tapaculo-da-chapada-diamantina","queimadas"
"Fauna","Aves","Rhinocryptidae","Scytalopus gonzagai","Macuquinho-preto-baiano","agropecuaria"
"Fauna","Aves","Rhinocryptidae","Scytalopus gonzagai","Macuquinho-preto-baiano","extracao florestal"
"Fauna","Aves","Rhinocryptidae","Scytalopus gonzagai","Macuquinho-preto-baiano","queimadas"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","agropecuaria"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","expansão urbana"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","especies exoticas"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","mineraçao"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","mudanças na dinamica das especies nativas"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","barragens"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","abastecimento/drenagem"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","industrias"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","transportes (terrestre/aereo/aquatico)"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","poluiçao"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","queimadas"
"Fauna","Aves","Rhinocryptidae","Scytalopus novacapitalis","Tapaculo-de-brasília","agropecuaria"
"Fauna","Aves","Rhinocryptidae","Scytalopus novacapitalis","Tapaculo-de-brasília","mineraçao"
"Fauna","Aves","Rhinocryptidae","Scytalopus novacapitalis","Tapaculo-de-brasília","queimadas"
"Flora","Pteridófitas","Selaginellaceae","Selaginella mendoncae","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Pteridófitas","Selaginellaceae","Selaginella mendoncae","-","expansão urbana"
"Flora","Pteridófitas","Selaginellaceae","Selaginella mendoncae","-","Turismo desordenado"
"Fauna","Aves","Ramphastidae","Selenidera gouldii baturitensis","Saripoca-de-gould","agropecuaria"
"Flora","Angiospermas","Fabaceae","Sellocharis paradoxa","-","agropecuaria"
"Flora","Angiospermas","Fabaceae","Sellocharis paradoxa","-","especies invasoras"
"Flora","Angiospermas","Gentianaceae","Senaea coerulea","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Gentianaceae","Senaea coerulea","-","plantaçao de madereiras"
"Flora","Angiospermas","Gentianaceae","Senaea coerulea","-","queimadas"
"Flora","Angiospermas","Gentianaceae","Senaea coerulea","-","mineraçao"
