"Grupao","Grupo","Familia","Especie","NomeComum","AreasProtegidas","PAN","OrdenamentoPesqueiro","ProtecaoNacional","ExclusivaBrasil"
"Flora","Angiospermas","Malpighiaceae","Byrsonima cipoensis","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Malpighiaceae","Byrsonima fonsecae","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Malpighiaceae","Byrsonima lanulosa","-","Não","Não","Não","1","Informação não disponível"
"Flora","Angiospermas","Malpighiaceae","Byrsonima microphylla","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Malpighiaceae","Byrsonima onishiana","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Caatinganthus rubropappus","-","Não","Não","Não","1","Sim"
"Fauna","Mamíferos","Pitheciidae","Cacajao hosomi","Uacari","Sim","Sim","Não","4","Não"
"Flora","Angiospermas","Fabaceae","Caesalpinia echinata","pau-brasil; Ibirapitanga; Pau-pernambuco","Sim","Não","Não","3","Sim"
"Fauna","Répteis","Dipsadidae","Calamodontophis paucidens","Cobra-espada-dos-pampas","Sim","Sim","Não","2","Não"
"Fauna","Répteis","Dipsadidae","Calamodontophis ronaldoi","Cobra-espada-do-paraná","Não","Sim","Não","1","Sim"
"Flora","Angiospermas","Asteraceae","Calea abbreviata","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Asteraceae","Calea acaulis","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Asteraceae","Calea brittoniana","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Calea gentianoides","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Asteraceae","Calea heteropappa","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Calea kristiniae","-","Sim","Sim","Não","2","Não"
"Flora","Angiospermas","Solanaceae","Calibrachoa eglandulata","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Solanaceae","Calibrachoa elegans","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Solanaceae","Calibrachoa humilis","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Solanaceae","Calibrachoa spathulata","-","Sim","Não","Não","2","Informação não disponível"
"Fauna","Aves","Scolopacidae","Calidris canutus","Maçarico-de-papo-vermelho","Sim","Sim","Não","4","Não"
"Fauna","Aves","Scolopacidae","Calidris pusilla","Maçarico-rasteirinho","Sim","Sim","Não","4","Não"
"Fauna","Aves","Scolopacidae","Calidris subruficollis","Maçarico-acanelado","Sim","Sim","Não","2","Não"
"Flora","Angiospermas","Fabaceae","Calliandra carrascana","-","Sim","Não","Não","2","Sim"
"Fauna","Mamíferos","Pitheciidae","Callicebus barbarabrownae","Guigó-da-caatinga","Sim","Sim","Não","4","Sim"
"Fauna","Mamíferos","Pitheciidae","Callicebus coimbrai","Guigó","Sim","Sim","Não","3","Sim"
"Fauna","Mamíferos","Pitheciidae","Callicebus melanochir","Guigó","Sim","Sim","Não","3","Sim"
"Fauna","Mamíferos","Pitheciidae","Callicebus personatus","Sauá-de-cara-preta","Sim","Sim","Não","3","Sim"
"Fauna","Invertebrados Terrestres","Nymphalidae","Callicore hydarnis","Borboleta","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Vochysiaceae","Callisthene inundata","-","Não","Não","Não","1","Sim"
"Fauna","Mamíferos","Echimyidae","Callistomys pictus","Rato-do-cacau","Sim","Sim","Não","2","Sim"
"Fauna","Mamíferos","Callitrichidae","Callithrix aurita","Sagui-da-serra-escuro","Sim","Sim","Não","3","Sim"
"Fauna","Mamíferos","Callitrichidae","Callithrix flaviceps","Sagui-da-serra-claro","Sim","Sim","Não","3","Sim"
"Fauna","Mamíferos","Didelphidae","Caluromysiops irrupta","Cuíca-de-colete","Sim","Não","Não","3","Não"
"Flora","Angiospermas","Myrtaceae","Calycolpus legrandii","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Malvaceae","Calyculogygas uruguayensis","-","Não","Não","Não","1","Não"
"Fauna","Répteis","Gymnophthalmidae","Calyptommatus leiolepis","Desconhecido","Sim","Sim","Não","4","Sim"
"Fauna","Répteis","Gymnophthalmidae","Calyptommatus nicterus","Desconhecido","Sim","Sim","Não","4","Sim"
"Fauna","Répteis","Gymnophthalmidae","Calyptommatus sinebrachiatus","Desconhecido","Sim","Sim","Não","4","Sim"
"Flora","Angiospermas","Malvaceae","Calyptraemalva catharinensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Myrtaceae","Calyptranthes fusiformis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Myrtaceae","Calyptranthes hatschbachii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Myrtaceae","Calyptranthes pileata","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Myrtaceae","Calyptranthes restingae","-","Sim","Não","Não","2","Informação não disponível"
"Fauna","Aves","Platyrinchidae","Calyptura cristata","Tietê-de-coroa","Sim","Sim","Não","3","Sim"
