"Grupao","Grupo","Familia","Especie","NomeComum","Bioma"
"Flora","Angiospermas","Loganiaceae","Spigelia vestita","-","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Cryptogeobiidae","Spinopilar moria","Opilião","Cerrado"
"Fauna","Peixes Continentais","Characidae","Spintherobolus ankoseion","Lambari","Mata Atlântica"
"Fauna","Peixes Continentais","Characidae","Spintherobolus broccae","Piaba","Mata Atlântica"
"Fauna","Peixes Continentais","Characidae","Spintherobolus leptoura","Lambari","Mata Atlântica"
"Fauna","Peixes Continentais","Characidae","Spintherobolus papilliferus","Lambari ","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Pomatiopsidae","Spiripockia punctata","Desconhecido","Caatinga"
"Fauna","Invertebrados Aquáticos","Pomatiopsidae","Spiripockia punctata","Desconhecido","Cerrado"
"Fauna","Aves","Fringilidae","Sporagra yarrellii","Pintassilgo-do-nordeste","Caatinga"
"Fauna","Aves","Fringilidae","Sporagra yarrellii","Pintassilgo-do-nordeste","Mata Atlântica"
"Flora","Angiospermas","Poaceae","Sporobolus apiculatus","-","Cerrado"
"Fauna","Aves","Thraupidae","Sporophila beltoni","Patativa-tropeira","Mata Atlântica"
"Fauna","Aves","Thraupidae","Sporophila beltoni","Patativa-tropeira","Pampa"
"Fauna","Aves","Thraupidae","Sporophila falcirostris","Cigarra-verdadeira","Cerrado"
"Fauna","Aves","Thraupidae","Sporophila falcirostris","Cigarra-verdadeira","Mata Atlântica"
"Fauna","Aves","Thraupidae","Sporophila frontalis","Pixoxó","Cerrado"
"Fauna","Aves","Thraupidae","Sporophila frontalis","Pixoxó","Mata Atlântica"
"Fauna","Aves","Thraupidae","Sporophila hypoxantha","Caboclinho-de-barriga-vermelha","Cerrado"
"Fauna","Aves","Thraupidae","Sporophila hypoxantha","Caboclinho-de-barriga-vermelha","Mata Atlântica"
"Fauna","Aves","Thraupidae","Sporophila hypoxantha","Caboclinho-de-barriga-vermelha","Pampa"
"Fauna","Aves","Thraupidae","Sporophila maximiliani","Bicudo-verdadeiro","Amazônia"
"Fauna","Aves","Thraupidae","Sporophila maximiliani","Bicudo-verdadeiro","Caatinga"
"Fauna","Aves","Thraupidae","Sporophila maximiliani","Bicudo-verdadeiro","Cerrado"
"Fauna","Aves","Thraupidae","Sporophila maximiliani","Bicudo-verdadeiro","Mata Atlântica"
"Fauna","Aves","Thraupidae","Sporophila maximiliani","Bicudo-verdadeiro","Pantanal"
"Fauna","Aves","Thraupidae","Sporophila melanogaster","Caboclinho-de-barriga-preta","Cerrado"
"Fauna","Aves","Thraupidae","Sporophila melanogaster","Caboclinho-de-barriga-preta","Mata Atlântica"
"Fauna","Aves","Thraupidae","Sporophila nigrorufa","Caboclinho-do-sertão","Amazônia"
"Fauna","Aves","Thraupidae","Sporophila nigrorufa","Caboclinho-do-sertão","Pantanal"
"Fauna","Aves","Thraupidae","Sporophila palustris","Caboclinho-de-papo-branco","Cerrado"
"Fauna","Aves","Thraupidae","Sporophila palustris","Caboclinho-de-papo-branco","Pampa"
"Fauna","Aves","Thraupidae","Sporophila palustris","Caboclinho-de-papo-branco","Pantanal"
"Fauna","Aves","Thraupidae","Sporophila ruficollis","Caboclinho-de-papo-escuro","Cerrado"
"Fauna","Aves","Thraupidae","Sporophila ruficollis","Caboclinho-de-papo-escuro","Mata Atlântica"
