"Grupao","Grupo","Familia","Especie","NomeComum","CategoriaAmeaca"
"Flora","Angiospermas","Bromeliaceae","Encholirium irwinii","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Encholirium longiflorum","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Encholirium luxor","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Encholirium pedicellatum","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Encholirium scrutor","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Encholirium vogelii","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orchidaceae","Encyclia bragancae","-","Em Perigo (EN)"
"Fauna","Peixes Marinhos","Tripterygiidae","Enneanectes smithi","Desconhecido","Vulnerável (VU)"
"Fauna","Répteis","Leiosauridae","Enyalius erythroceneus","Papa-vento-da-chapada","Criticamente em Perigo (CR)"
"Flora","Gimnospermas","Ephedraceae","Ephedra tweediana","-","Vulnerável (VU)"
"Flora","Angiospermas","Orchidaceae","Epidendrum addae","-","Vulnerável (VU)"
"Flora","Angiospermas","Orchidaceae","Epidendrum ecostatum","-","Vulnerável (VU)"
"Flora","Angiospermas","Orchidaceae","Epidendrum henschenii","-","Em Perigo (EN)"
"Flora","Angiospermas","Orchidaceae","Epidendrum robustum","-","Vulnerável (VU)"
"Flora","Angiospermas","Orchidaceae","Epidendrum zappii","-","Em Perigo (EN)"
"Fauna","Peixes Marinhos","Epinephelidae","Epinephelus itajara","Mero","Criticamente em Perigo (CR)"
"Fauna","Peixes Marinhos","Epinephelidae","Epinephelus marginatus","Garoupa-verdadeira","Vulnerável (VU)"
"Fauna","Peixes Marinhos","Epinephelidae","Epinephelus morio","Garoupa ","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Peripatidae","Epiperipatus adenocryptus","Desconhecido","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Peripatidae","Epiperipatus diadenoproctus","Desconhecido","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Peripatidae","Epiperipatus ohausi","Desconhecido","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Peripatidae","Epiperipatus paurognostus","Desconhecido","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Nymphalidae","Episcada vitrea","Borboleta","Em Perigo (EN)"
