"Grupao","Grupo","Familia","Especie","NomeComum","EstadosOcorrencia"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","PI"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","RN"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","SE"
"Fauna","Peixes Continentais","Crenuchidae","Melanocharacidium nigrum","Piaba","AM"
"Fauna","Peixes Continentais","Crenuchidae","Melanocharacidium nigrum","Piaba","RR"
"Fauna","Anfíbios","Bufonidae","Melanophryniscus admirabilis","Desconhecido","RS"
"Fauna","Anfíbios","Bufonidae","Melanophryniscus cambaraensis","Sapinho-verde-de-barriga-vermelha","RS"
"Fauna","Anfíbios","Bufonidae","Melanophryniscus dorsalis","Flamenguinho, Sapinho-da-barriga-vermelha ","RS"
"Fauna","Anfíbios","Bufonidae","Melanophryniscus dorsalis","Flamenguinho, Sapinho-da-barriga-vermelha ","SC"
"Fauna","Anfíbios","Bufonidae","Melanophryniscus macrogranulosus","Desconhecido","RS"
"Fauna","Anfíbios","Bufonidae","Melanophryniscus setiba","Sapinho-da-restinga ","ES"
"Flora","Angiospermas","Rubiaceae","Melanopsidium nigrum","-","BA"
"Flora","Angiospermas","Rubiaceae","Melanopsidium nigrum","-","ES"
"Flora","Angiospermas","Rubiaceae","Melanopsidium nigrum","-","RJ"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus crixas","Desconhecido","GO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus illuminatus","Peixe-anual","GO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus karaja","Desconhecido","TO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus kayapo","Desconhecido","GO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus kunzei","Desconhecido","GO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus litteratus","Desconhecido","MT"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus pindorama","Desconhecido","TO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus pinima","Peixe-anual","GO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus planaltinus","Desconhecido","GO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus planaltinus","Desconhecido","TO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus rubromarginatus","Desconhecido","GO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus rutilicaudus","Peixe-anual","GO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus salmonicaudus","Desconhecido","GO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus scalaris","Peixe-anual","MS"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus ubirajarai","Desconhecido","GO"
"Fauna","Peixes Continentais","Rivulidae","Melanorivulus vittatus","Peixe-anual","GO"
"Flora","Angiospermas","Fabaceae","Melanoxylon brauna","-","BA"
"Flora","Angiospermas","Fabaceae","Melanoxylon brauna","-","ES"
"Flora","Angiospermas","Fabaceae","Melanoxylon brauna","-","RJ"
"Flora","Angiospermas","Fabaceae","Melanoxylon brauna","-","SP"
"Flora","Angiospermas","Fabaceae","Melanoxylon brauna","-","AL"
